feature,importance
n_medical_services,0.24190897
new_business_flag,0.076955736
type_product,0.067761965
seniority_insured,0.045402743
new_business,0.03943568
tenure_group,0.03361286
distribution_channel,0.030231064
age_group,0.028672142
seniority_policy,0.028363567
IICIPROV,0.024928829
age,0.024754314
n_insured_prov,0.024605388
type_policy,0.023300648
type_policy_dg,0.02199593
n_insured_mun,0.020996172
C_C,0.020987175
premium,0.020558462
premium_pctile,0.019873677
IICIMUN,0.017638827
gender,0.017562976
C_GE_S,0.016530642
C_II,0.016394239
C_GE_P,0.016333556
C_GI,0.016289078
C_GE_T,0.016086295
n_insured_pc,0.015699355
C_IE_T,0.0151721155
reimbursement,0.015059478
C_IE_S,0.014699068
C_IE_P,0.014129705
C_H,0.014059426
