type_product,type_policy_dg,count,avg_premium,avg_claim,lapse_rate,avg_loss_ratio,avg_age,loss_ratio
D,C1,355,80.85122855879943,0.40896,0.03943661971830986,0.004937783965252228,69.55774647887324,0.005058179167958863
D,I,9511,99.33043787283495,0.15237584901692777,0.08663652612764168,0.001744635519277002,50.956261171275365,0.0015340297725456797
I,C1,519,304.631021194605,0.0,0.046242774566473986,0.0,46.017341040462426,0.0
I,I,2498,1093.797510510501,698.0995424339471,0.06204963971176942,0.5149712939820981,51.98318654923939,0.6382347150416603
P,C1,6883,561.3601639650116,463.0446427139329,0.09152985616736888,0.8510755230698482,32.830451837861396,0.8248619557243708
P,I,24060,1052.5609452908361,694.1087765004156,0.09035743973399833,0.6547173586322199,37.62281795511222,0.659447587910099
P,SE,9470,635.2056198891856,526.0028878247095,0.09714889123548047,0.8230094781804009,33.27750791974657,0.8280828622336072
S,C1,17967,658.6602644841153,499.2207969443981,0.10363444091946346,0.7664631551969164,37.55585239605944,0.7579336781996474
S,C2,3905,830.6191712887137,661.8666826376441,0.014596670934699104,0.772097690111958,55.95595390524968,0.7968353073415722
S,C3,49775,884.9525446724591,686.5449170728277,0.041245605223505774,0.7570090140793823,56.985775991963834,0.7757985681898157
S,C4,3836,423.8599574086874,559.5457349843587,0.07038581856100104,1.334358878289797,31.957247132429615,1.3201193583022104
S,I,79141,1002.1394132630496,612.7336239900936,0.07103776803426795,0.5831133093303718,43.73087274611137,0.6114255320973574
S,SE,20791,756.8015730756631,549.5339231205811,0.08383435140204896,0.691338870607849,35.35015150786398,0.7261268246143565
